in s,C1 in V
-3.741732E-01,3.0229416E+00
-3.740904E-01,3.0227890E+00
-3.740076E-01,3.0230179E+00
-3.739248E-01,3.0233231E+00
-3.738420E-01,3.0232468E+00
-3.737592E-01,3.0228653E+00
-3.736764E-01,3.0230942E+00
-3.735936E-01,3.0231705E+00
-3.735108E-01,3.0233231E+00
-3.734280E-01,3.0232468E+00
-3.733452E-01,3.0237045E+00
-3.732624E-01,3.0233994E+00
-3.731796E-01,3.0229416E+00
-3.730968E-01,3.0230942E+00
-3.730140E-01,3.0233994E+00
-3.729312E-01,3.0232468E+00
-3.728484E-01,3.0232468E+00
-3.727656E-01,3.0227890E+00
-3.726828E-01,3.0230179E+00
-3.726000E-01,3.0230942E+00
-3.725172E-01,3.0229416E+00
-3.724344E-01,3.0229416E+00
-3.723516E-01,3.0230942E+00
-3.722688E-01,3.0234756E+00
-3.721860E-01,3.0232468E+00
-3.721032E-01,3.0230942E+00
-3.720204E-01,3.0229416E+00
-3.719376E-01,3.0224838E+00
-3.718548E-01,3.0223312E+00
-3.717720E-01,3.0226364E+00
-3.716892E-01,3.0226364E+00
-3.716064E-01,3.0229416E+00
-3.715236E-01,3.0233231E+00
-3.714408E-01,3.0234756E+00
-3.713580E-01,3.0233231E+00
-3.712752E-01,3.0232468E+00
-3.711924E-01,3.0230942E+00
-3.711096E-01,3.0235519E+00
-3.710268E-01,3.0237808E+00
-3.709440E-01,3.0231705E+00
-3.708612E-01,3.0225601E+00
-3.707784E-01,3.0224838E+00
-3.706956E-01,3.0224838E+00
-3.706128E-01,3.0230942E+00
-3.705300E-01,3.0231705E+00
-3.704472E-01,3.0224838E+00
-3.703644E-01,3.0224838E+00
-3.702816E-01,3.0225601E+00
-3.701988E-01,3.0223312E+00
-3.701160E-01,3.0225601E+00
-3.700332E-01,3.0222549E+00
-3.699504E-01,3.0220261E+00
-3.698676E-01,3.0221786E+00
-3.697848E-01,3.0220261E+00
-3.697020E-01,3.0227127E+00
-3.696192E-01,3.0224075E+00
-3.695364E-01,3.0229416E+00
-3.694536E-01,3.0232468E+00
-3.693708E-01,3.0227127E+00
-3.692880E-01,3.0224075E+00
-3.692052E-01,3.0224075E+00
-3.691224E-01,3.0231705E+00
-3.690396E-01,3.0230942E+00
-3.689568E-01,3.0225601E+00
-3.688740E-01,3.0224075E+00
-3.687912E-01,3.0219498E+00
-3.687084E-01,3.0214920E+00
-3.686256E-01,3.0214920E+00
-3.685428E-01,3.0212631E+00
-3.684600E-01,3.0210342E+00
-3.683772E-01,3.0217972E+00
-3.682944E-01,3.0224838E+00
-3.682116E-01,3.0221024E+00
-3.681288E-01,3.0223312E+00
-3.680460E-01,3.0219498E+00
-3.679632E-01,3.0221786E+00
-3.678804E-01,3.0230179E+00
-3.677976E-01,3.0233231E+00
-3.677148E-01,3.0230942E+00
-3.676320E-01,3.0232468E+00
-3.675492E-01,3.0225601E+00
-3.674664E-01,3.0224075E+00
-3.673836E-01,3.0221786E+00
-3.673008E-01,3.0224075E+00
-3.672180E-01,3.0225601E+00
-3.671352E-01,3.0228653E+00
-3.670524E-01,3.0231705E+00
-3.669696E-01,3.0227890E+00
-3.668868E-01,3.0228653E+00
-3.668040E-01,3.0232468E+00
-3.667212E-01,3.0232468E+00
-3.666384E-01,3.0235519E+00
-3.665556E-01,3.0234756E+00
-3.664728E-01,3.0230179E+00
-3.663900E-01,3.0237045E+00
-3.663072E-01,3.0236282E+00
-3.662244E-01,3.0233994E+00
-3.661416E-01,3.0235519E+00
-3.660588E-01,3.0233994E+00
-3.659760E-01,3.0230942E+00
-3.658932E-01,3.0234756E+00
-3.658104E-01,3.0233231E+00
-3.657276E-01,3.0230179E+00
-3.656448E-01,3.0232468E+00
-3.655620E-01,3.0233231E+00
-3.654792E-01,3.0231705E+00
-3.653964E-01,3.0235519E+00
-3.653136E-01,3.0234756E+00
-3.652308E-01,3.0231705E+00
-3.651480E-01,3.0234756E+00
-3.650652E-01,3.0228653E+00
-3.649824E-01,3.0227890E+00
-3.648996E-01,3.0221786E+00
-3.648168E-01,3.0223312E+00
-3.647340E-01,3.0228653E+00
-3.646512E-01,3.0226364E+00
-3.645684E-01,3.0222549E+00
-3.644856E-01,3.0224075E+00
-3.644028E-01,3.0225601E+00
-3.643200E-01,3.0226364E+00
-3.642372E-01,3.0224838E+00
-3.641544E-01,3.0224838E+00
-3.640716E-01,3.0227890E+00
-3.639888E-01,3.0224075E+00
-3.639060E-01,3.0222549E+00
-3.638232E-01,3.0221786E+00
-3.637404E-01,3.0221024E+00
-3.636576E-01,3.0224838E+00
-3.635748E-01,3.0227890E+00
-3.634920E-01,3.0227127E+00
-3.634092E-01,3.0227127E+00
-3.633264E-01,3.0224075E+00
-3.632436E-01,3.0224075E+00
-3.631608E-01,3.0225601E+00
-3.630780E-01,3.0226364E+00
-3.629952E-01,3.0221786E+00
-3.629124E-01,3.0226364E+00
-3.628296E-01,3.0232468E+00
-3.627468E-01,3.0234756E+00
-3.626640E-01,3.0232468E+00
-3.625812E-01,3.0227890E+00
-3.624984E-01,3.0227890E+00
-3.624156E-01,3.0232468E+00
-3.623328E-01,3.0230942E+00
-3.622500E-01,3.0228653E+00
-3.621672E-01,3.0233994E+00
-3.620844E-01,3.0230179E+00
-3.620016E-01,3.0224838E+00
-3.619188E-01,3.0223312E+00
-3.618360E-01,3.0228653E+00
-3.617532E-01,3.0224838E+00
-3.616704E-01,3.0221786E+00
-3.615876E-01,3.0227127E+00
-3.615048E-01,3.0228653E+00
-3.614220E-01,3.0222549E+00
-3.613392E-01,3.0224838E+00
-3.612564E-01,3.0230179E+00
-3.611736E-01,3.0227890E+00
-3.610908E-01,3.0233231E+00
-3.610080E-01,3.0228653E+00
-3.609252E-01,3.0224075E+00
-3.608424E-01,3.0224838E+00
-3.607596E-01,3.0222549E+00
-3.606768E-01,3.0214157E+00
-3.605940E-01,3.0218735E+00
-3.605112E-01,3.0224075E+00
-3.604284E-01,3.0225601E+00
-3.603456E-01,3.0225601E+00
-3.602628E-01,3.0229416E+00
-3.601800E-01,3.0230942E+00
-3.600972E-01,3.0222549E+00
-3.600144E-01,3.0226364E+00
-3.599316E-01,3.0227890E+00
-3.598488E-01,3.0224838E+00
-3.597660E-01,3.0228653E+00
-3.596832E-01,3.0227127E+00
-3.596004E-01,3.0227890E+00
-3.595176E-01,3.0230942E+00
-3.594348E-01,3.0229416E+00
-3.593520E-01,3.0232468E+00
-3.592692E-01,3.0234756E+00
-3.591864E-01,3.0231705E+00
-3.591036E-01,3.0227127E+00
-3.590208E-01,3.0228653E+00
-3.589380E-01,3.0227127E+00
-3.588552E-01,3.0230179E+00
-3.587724E-01,3.0233231E+00
-3.586896E-01,3.0234756E+00
-3.586068E-01,3.0233994E+00
-3.585240E-01,3.0229416E+00
-3.584412E-01,3.0233231E+00
-3.583584E-01,3.0230942E+00
