in s,C1 in V,C2 in V,C3 in V
9.360000E-02,1.49658E+01,1.45264E+01,1.45508E-01
9.420000E-02,1.42334E+01,1.35498E+01,6.34766E-02
9.420000E-02,1.49658E+01,1.45752E+01,1.53320E-01
9.480000E-02,1.42334E+01,1.35986E+01,6.34766E-02
9.480000E-02,1.49658E+01,1.49658E+01,1.53320E-01
9.540000E-02,1.42334E+01,1.38428E+01,6.34766E-02
9.540000E-02,1.49658E+01,1.53076E+01,1.49414E-01
9.600000E-02,1.42334E+01,1.42822E+01,6.34766E-02
9.600000E-02,1.50146E+01,1.54053E+01,1.45508E-01
9.660000E-02,1.42334E+01,1.45752E+01,7.91016E-02
9.660000E-02,1.50146E+01,1.54541E+01,1.31836E-01
9.720000E-02,1.42334E+01,1.36963E+01,7.71484E-02
9.720000E-02,1.50146E+01,1.54541E+01,1.27930E-01
9.780000E-02,1.43311E+01,1.35498E+01,7.32422E-02
9.780000E-02,1.50146E+01,1.52588E+01,1.41602E-01
9.840000E-02,1.42822E+01,1.35498E+01,7.32422E-02
9.840000E-02,1.50146E+01,1.45264E+01,1.41602E-01
9.900000E-02,1.42334E+01,1.35498E+01,7.32422E-02
9.900000E-02,1.50146E+01,1.46729E+01,1.37695E-01
9.960000E-02,1.42334E+01,1.36475E+01,5.95703E-02
9.960000E-02,1.49658E+01,1.50146E+01,1.39648E-01
1.002000E-01,1.42334E+01,1.38916E+01,5.76172E-02
1.002000E-01,1.50146E+01,1.53076E+01,1.39648E-01
1.008000E-01,1.42334E+01,1.43311E+01,5.17578E-02
1.008000E-01,1.50146E+01,1.54053E+01,1.43555E-01
1.014000E-01,1.42334E+01,1.44287E+01,5.17578E-02
1.014000E-01,1.50146E+01,1.55029E+01,1.43555E-01
1.020000E-01,1.43311E+01,1.38428E+01,6.34766E-02
1.020000E-01,1.50146E+01,1.55029E+01,1.25977E-01
1.026000E-01,1.43311E+01,1.37939E+01,5.76172E-02
1.026000E-01,1.50146E+01,1.54053E+01,1.47461E-01
1.032000E-01,1.42822E+01,1.37939E+01,5.76172E-02
1.032000E-01,1.50146E+01,1.47705E+01,1.47461E-01
1.038000E-01,1.42822E+01,1.37939E+01,6.15234E-02
1.038000E-01,1.50146E+01,1.49658E+01,1.43555E-01
1.044000E-01,1.42822E+01,1.38916E+01,6.15234E-02
1.044000E-01,1.50146E+01,1.54053E+01,1.43555E-01
1.050000E-01,1.43311E+01,1.42822E+01,7.32422E-02
1.050000E-01,1.50146E+01,1.56494E+01,1.27930E-01
1.056000E-01,1.42334E+01,1.47217E+01,7.51953E-02
1.056000E-01,1.50146E+01,1.57471E+01,1.25977E-01
1.062000E-01,1.42334E+01,1.43311E+01,7.51953E-02
1.062000E-01,1.50146E+01,1.57471E+01,1.29883E-01
1.068000E-01,1.42334E+01,1.40381E+01,7.32422E-02
1.068000E-01,1.50146E+01,1.56982E+01,1.31836E-01
1.074000E-01,1.42334E+01,1.40381E+01,7.12891E-02
1.074000E-01,1.50146E+01,1.52588E+01,1.31836E-01
1.080000E-01,1.43311E+01,1.40381E+01,5.76172E-02
1.080000E-01,1.50146E+01,1.51123E+01,1.41602E-01
1.086000E-01,1.42334E+01,1.41846E+01,4.98047E-02
1.086000E-01,1.50146E+01,1.55029E+01,1.41602E-01
1.092000E-01,1.42334E+01,1.43799E+01,3.02734E-02
